[SETTINGS]

#cell_size(width)	cell_size(height)	num_col_cells	num_row_cells
150	100	60	40

[OBJECTS]

1	0	352	5003	2	0	3
1	16	352	5003	2	0	3
1	32	352	5003	2	0	3
1	48	352	5003	2	0	3
1	64	352	5003	2	0	3
1	80	352	5003	2	0	3
1	96	352	5003	2	0	3
1	112	352	5003	2	0	3
1	128	352	5003	2	0	3
1	144	352	5003	2	0	3
1	1968	368	5003	2	13	3
1	1984	368	5003	2	13	3
1	2000	368	5003	2	13	3
1	1968	384	5003	2	13	3
1	1984	384	5003	2	13	3
1	2000	384	5003	2	13	3



#==== GACH NHO XEP HANG DOC
1	2032	240	5003	2	13	2
1	2032	256	5003	2	13	2
1	2032	272	5003	2	13	2
1	2032	288	5003	2	13	2
1	2032	304	5003	2	13	3
1	2032	320	5003	2	13	3
1	2032	336	5003	2	13	3
1	2032	352	5003	2	13	3
1	2032	368	5003	2	13	3
1	2032	384	5003	2	13	3
1	1937	337	5003	2	12	3
1	1953	337	5003	2	13	3



# --- HÀNG GACH NHO HANG NGANG ----
1	2064	416	5003	2	13	4
1	2080	416	5003	2	13	4
1	2096	416	5003	2	13	4
1	2112	416	5003	2	14	4
1	2128	416	5003	2	14	4
1	2144	416	5003	2	14	4
1	2160	416	5003	2	14	4
1	2176	416	5003	2	14	4
1	2192	416	5003	2	14	4
1	2208	416	5003	2	14	4
1	2224	416	5003	2	14	4
1	2240	416	5003	2	14	4
1	2256	416	5003	2	15	4
1	2272	416	5003	2	15	4
1	2288	416	5003	2	15	4
1	2304	416	5003	2	15	4
1	2320	416	5003	2	15	4
1	2336	416	5003	2	15	4
1	2352	416	5003	2	15	4
1	2368	416	5003	2	15	4
1	2384	416	5003	2	15	4
1	2400	416	5003	2	16	4
1	2416	416	5003	2	16	4
1	2432	416	5003	2	16	4
1	2448	416	5003	2	16	4
1	2464	416	5003	2	16	4
1	2480	416	5003	2	16	4
1	2496	416	5003	2	16	4
1	2512	416	5003	2	16	4
1	2528	416	5003	2	16	4
1	2544	416	5003	2	16	4
1	2560	416	5003	2	17	4
1	2002	368	5003	2	13	3




#Gạch ngang
29	368	320	1033	3	2	3
29	560	352	1033	3	3	3
29	592	304	1033	3	3	3
29	624	400	1033	3	4	4
29	752	336	1033	3	5	3
29	1030	384	1033	3	6	3
29	1200	320	1033	3	8	3
29	1376	352	1033	3	9	3
29	1408	336	1033	3	9	3
29	1552	304	1033	3	10	3
29	1776	336	1033	3	11	3
29	1744	384	1033	3	11	3
29	1792	416	1033	3	11	4




#Đồng tiền
8	337	304	7000	2	2	3
8	353	304	7000	2	2	3
8	369	304	7000	2	2	3
8	417	272	7000	2	2	2
8	433	272	7000	2	2	2
8	449	272	7000	2	2	2
8	769	304	7000	2	5	3
8	785	304	7000	2	5	3
8	801	304	7000	2	5	3
8	849	272	7000	2	5	2
8	865	272	7000	2	5	2
8	881	272	7000	2	5	2
8	1329	288	7000	2	8	2
8	1345	288	7000	2	8	2
8	1361	288	7000	2	9	2
8	1505	272	7000	2	10	2
8	1505	288	7000	2	10	2
8	1505	304	7000	2	10	3
8	1505	320	7000	2	10	3
8	1505	336	7000	2	10	3
8	1505	352	7000	2	10	3
8	1505	368	7000	2	10	3
8	1505	384	7000	2	10	3
8	1889	304	7000	2	12	3
8	1905	304	7000	2	12	3
8	1921	304	7000	2	12	3


#Gạch bự hàng ngang
1	1920	400	5003	2	12	4
1	1937	384	5003	2	12	3
1	1937	368	5003	2	12	3
1	1937	352	5003	2	12	3
1	2016	400	5003	2	13	4
1	1953	352	5003	2	13	3
1	2193	400	5003	2	14	4
1	2193	384	5003	2	14	3
1	2209	400	5003	2	14	4
1	2209	384	5003	2	14	3
1	2011	368	5003	2	13	3









#Drain
6	1949	336	119	2	12	3


#Koppaa
#14	170	310	5	2
14	1867	310	5	2	12	3
3	2014	338	3	2	13	3
3	1060	325	3	2	7	3

#==== BOOMERANG ENEMY
30	2100	380	1315	3	14	3
