# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\black.png	10	10	10
10	textures\mario.png	255	255	255
20	textures\m31.png	10	10	10
30	textures\world_map_1.png	10	10	10
40	textures\world_map_sprites.png	10	10	10



# id	left	top	right	bottom	texture_id
[SPRITES]
1	0	0	320	217	30

2	52	17	68	32	40
3	35	17	51	32	40
4	18	17	34	32	40
#Mario
1008	216	0	230	15	10
# Background black
20001	10	10	650	380	0


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

1	1	100
#Background black
20001	20001	100
#Mario
1008	1008	100
#Bụi cây
2	2	200	3	200	4	200	3	200

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
1	1
2	20001
1008	1008
3	2

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas

4	0	0	2
4	23	0	1
24	50	50	1008
4	28	4	3
4	49	4	3
4	70	4	3
4	28	25	3
4	49	25	3
4	70	25	3

4	28	71	3
4	49	71	3
4	70	71	3

4	28	92	3
4	49	92	3
4	70	92	3

4	28	113	3

4	126	25	3
4	147	25	3
4	168	25	3





4	126	48	3
4	147	48	3
4	168	48	3

4	126	71	3
4	147	71	3
4	168	71	3

4	147	115	3
4	168	115	3
4	189	115	3

4	216	25	3
4	237	25	3
4	258	25	3

4	216	92	3
4	237	92	3

4	216	71	3
4	237	71	3
4	258	71	3
4	279	71	3

4	300	25	3
4	321	25	3
4	300	4	3
4	321	4	3
4	300	46	3
4	321	46	3
4	300	71	3
4	321	71	3
4	321	92	3

4	321	113	3
4	321	134	3
4	321	155	3
4	321	176	3


